"id","ts","currentR1","currentS2","currentT3","currentAverageR1","currentAverageS2","currentAverageT3","temp","pulses","event"
"1","2014-01-09 10:58:03","4.42","3.72","0.06","4.43","3.73","0.06","69.87","0","cron"
"2","2014-01-09 11:00:03","4.41","3.69","0.07","4.42","3.7","0.06","69.87","0","cron"
"3","2014-01-09 11:02:02","1.49","0.36","0.06","4.18","3.16","0.07","69.94","0","cron"
"4","2014-01-09 11:04:02","1.47","0.35","0.07","1.47","0.35","0.07","69.94","0","cron"
"5","2014-01-09 11:06:02","1.45","0.35","0.06","1.48","0.35","0.07","69.87","0","cron"
"6","2014-01-09 11:08:02","1.51","0.35","0.05","1.49","0.35","0.07","69.81","0","cron"
"7","2014-01-09 11:10:02","1.49","0.34","0.07","1.49","0.35","0.07","69.81","0","cron"
"8","2014-01-09 11:12:02","1.61","0.35","0.07","1.6","0.35","0.06","69.75","0","cron"
"9","2014-01-09 11:14:02","1.61","0.35","0.06","1.61","0.35","0.06","69.75","0","cron"
"10","2014-01-09 11:16:02","1.62","0.34","0.06","1.62","0.34","0.06","69.75","0","cron"
"11","2014-01-09 11:18:02","1.57","0.35","0.06","1.58","0.35","0.06","69.75","0","cron"
"12","2014-01-09 11:20:02","1.36","0.35","0.06","1.42","0.35","0.06","69.75","0","cron"
"13","2014-01-09 11:22:02","4.46","3.68","0.07","4.45","3.67","0.06","69.69","0","cron"
"14","2014-01-09 11:24:02","4.58","3.71","0.07","4.58","3.71","0.07","69.69","0","cron"
"15","2014-01-09 11:26:02","1.55","0.35","0.07","4.51","3.63","0.06","69.75","0","cron"
"16","2014-01-09 11:28:08","1.64","0.34","0.06","1.67","0.35","0.06","69.75","0","cron"
"17","2014-01-09 11:30:02","1.61","0.35","0.07","1.62","0.35","0.06","69.69","0","cron"
"18","2014-01-09 11:32:02","1.64","0.34","0.07","1.61","0.35","0.06","69.62","0","cron"
"19","2014-01-09 11:34:02","1.61","0.36","0.05","1.62","0.35","0.06","69.56","0","cron"
"20","2014-01-09 11:36:02","1.6","0.34","0.07","1.59","0.35","0.06","69.62","0","cron"
"21","2014-01-09 11:38:02","1.55","0.35","0.06","1.54","0.35","0.06","69.56","0","cron"
"22","2014-01-09 11:40:01","1.64","0.35","0.06","1.53","0.35","0.06","69.56","0","cron"
"23","2014-01-09 11:42:02","1.43","0.36","0.06","1.52","0.35","0.06","69.56","0","cron"
"24","2014-01-09 11:44:03","1.45","0.34","0.06","1.45","0.35","0.06","69.56","0","cron"
"25","2014-01-09 11:46:02","4.88","3.69","0.06","3.04","1.94","0.06","69.5","0","cron"
"26","2014-01-09 11:48:02","4.69","3.68","0.07","4.69","3.68","0.07","69.5","0","cron"
"27","2014-01-09 11:50:02","4.85","3.68","0.07","4.85","3.68","0.07","69.5","0","cron"
"28","2014-01-09 11:52:02","1.54","0.34","0.07","2.09","0.92","0.06","69.62","0","cron"
"29","2014-01-09 11:54:02","1.59","0.35","0.08","1.58","0.35","0.07","69.44","0","cron"
"30","2014-01-09 11:56:02","1.57","0.35","0.06","1.58","0.36","0.06","69.44","0","cron"
"31","2014-01-09 11:58:02","1.63","0.34","0.06","1.61","0.34","0.07","69.44","0","cron"
"32","2014-01-09 12:00:02","1.51","0.35","0.06","1.53","0.35","0.07","69.44","0","cron"
"33","2014-01-09 12:02:02","1.56","0.36","0.06","1.58","0.36","0.06","69.37","0","cron"
"34","2014-01-09 12:04:02","1.5","0.35","0.06","1.52","0.35","0.06","69.37","0","cron"
"35","2014-01-09 12:06:02","1.56","0.35","0.06","1.57","0.35","0.06","69.37","0","cron"
"36","2014-01-09 12:08:02","1.52","0.35","0.06","1.53","0.35","0.06","69.37","0","cron"
"37","2014-01-09 12:10:02","4.82","3.69","0.07","4.82","3.69","0.07","69.31","0","cron"
"38","2014-01-09 12:12:02","4.98","3.71","0.07","4.97","3.7","0.07","69.31","0","cron"
"39","2014-01-09 12:14:01","4.93","3.72","0.07","4.91","3.7","0.06","69.31","0","cron"
"40","2014-01-09 12:16:02","1.53","0.34","0.06","1.53","0.34","0.07","69.5","0","cron"
"41","2014-01-09 12:18:02","1.68","0.35","0.07","1.67","0.35","0.07","69.31","0","cron"
"42","2014-01-09 12:20:02","1.68","0.34","0.06","1.62","0.35","0.06","69.25","0","cron"
"43","2014-01-09 12:22:02","1.58","0.35","0.07","1.59","0.35","0.07","69.25","0","cron"
"44","2014-01-09 12:24:02","1.5","0.35","0.07","1.56","0.35","0.06","69.25","0","cron"
"45","2014-01-09 12:26:02","1.5","0.36","0.04","1.55","0.35","0.06","69.25","0","cron"
"46","2014-01-09 12:28:02","1.57","0.35","0.06","1.57","0.35","0.06","69.19","0","cron"
"47","2014-01-09 12:30:02","1.48","0.35","0.05","1.51","0.35","0.06","69.19","0","cron"
"48","2014-01-09 12:32:02","1.52","0.36","0.07","1.5","0.36","0.07","69.19","0","cron"
"49","2014-01-09 12:34:01","0.93","0.06","0.07","1.25","0.27","0.06","69.25","0","cron"
"50","2014-01-09 12:36:02","4.12","3.68","0.05","4.12","3.68","0.05","69.12","0","cron"
"51","2014-01-09 12:38:02","4.13","3.68","0.07","4.14","3.69","0.06","69.12","0","cron"
"52","2014-01-09 12:40:02","4.09","3.66","0.06","4.1","3.66","0.06","69.19","0","cron"
"53","2014-01-09 12:42:01","0.92","0.07","0.06","0.91","0.08","0.06","69.25","0","cron"
"54","2014-01-09 12:44:03","0.9","0.06","0.06","0.91","0.06","0.06","69.12","0","cron"
"55","2014-01-09 12:46:02","0.92","0.06","0.06","0.92","0.06","0.06","69.06","0","cron"
"56","2014-01-09 12:48:02","0.91","0.06","0.06","0.9","0.06","0.06","69.06","0","cron"
"57","2014-01-09 12:50:01","1.11","0.06","0.07","0.99","0.06","0.06","69.06","0","cron"
"58","2014-01-09 12:52:02","1.15","0.04","0.06","1.15","0.04","0.06","69","0","cron"
"59","2014-01-09 12:54:03","1.13","0.07","0.07","1.14","0.06","0.06","69","0","cron"
"60","2014-01-09 12:56:02","1.13","0.07","0.07","1.14","0.06","0.07","69","0","cron"
"61","2014-01-09 12:58:02","1.14","0.05","0.06","1.14","0.05","0.06","69","0","cron"
"62","2014-01-09 13:00:02","4.48","3.62","0.06","4.48","3.62","0.06","68.94","0","cron"
"63","2014-01-09 13:02:02","4.51","3.65","0.07","4.5","3.64","0.07","68.94","0","cron"
"64","2014-01-09 13:04:02","4.82","3.59","0.07","4.8","3.58","0.07","68.94","0","cron"
"65","2014-01-09 13:06:01","1.47","0.06","0.07","2.92","1.59","0.07","69.12","0","cron"
"66","2014-01-09 13:08:02","1.09","0.05","0.07","1.09","0.06","0.07","69","0","cron"
"67","2014-01-09 13:10:02","1.06","0.06","0.07","1.06","0.06","0.07","68.87","0","cron"
"68","2014-01-09 13:12:02","1.05","0.06","0.07","1.05","0.06","0.07","68.87","0","cron"
"69","2014-01-09 13:14:02","1.06","0.05","0.05","1.05","0.06","0.07","68.87","0","cron"
"70","2014-01-09 13:16:02","1.06","0.06","0.07","1.06","0.06","0.07","68.87","0","cron"
"71","2014-01-09 13:18:02","1.02","0.07","0.07","1.02","0.07","0.07","68.81","0","cron"
"72","2014-01-09 13:20:02","1.09","0.05","0.06","1.05","0.06","0.06","68.81","0","cron"
"73","2014-01-09 13:22:02","1.04","0.05","0.06","1.05","0.06","0.06","68.81","0","cron"
"74","2014-01-09 13:24:02","1.06","0.05","0.07","1.05","0.06","0.07","68.81","0","cron"
"75","2014-01-09 13:26:02","4.36","3.64","0.06","2.5","1.63","0.07","68.75","0","cron"
"76","2014-01-09 13:28:01","4.39","3.65","0.06","4.39","3.66","0.07","68.75","0","cron"
"77","2014-01-09 13:30:02","4.4","3.66","0.06","4.4","3.66","0.06","68.81","0","cron"
"78","2014-01-09 13:32:03","1.03","0.06","0.06","1.03","0.06","0.07","68.94","0","cron"
"79","2014-01-09 13:34:02","1.03","0.07","0.05","1.03","0.06","0.07","68.75","0","cron"
"80","2014-01-09 13:36:02","1.02","0.06","0.07","1.02","0.06","0.07","68.69","0","cron"
"81","2014-01-09 13:38:02","1.03","0.06","0.07","1.02","0.06","0.06","68.69","0","cron"
"82","2014-01-09 13:40:02","1.01","0.08","0.07","1","0.07","0.07","68.69","0","cron"
"83","2014-01-09 13:42:02","1.03","0.06","0.06","1.02","0.06","0.06","68.62","0","cron"
"84","2014-01-09 13:44:02","1.02","0.07","0.05","1.02","0.06","0.06","68.62","0","cron"
"85","2014-01-09 13:46:02","1.03","0.07","0.06","1.05","0.06","0.06","68.56","0","cron"
"86","2014-01-09 13:48:02","0.88","0.07","0.06","0.87","0.07","0.06","68.62","0","cron"
"87","2014-01-09 13:50:02","4.08","3.65","0.06","1.81","1.1","0.06","68.56","0","cron"
"88","2014-01-09 13:52:02","4.05","3.62","0.07","4.05","3.61","0.06","68.56","0","cron"
"89","2014-01-09 13:54:02","4.08","3.64","0.06","4.07","3.64","0.06","68.62","0","cron"
"90","2014-01-09 13:56:02","0.9","0.07","0.06","2.05","1.37","0.06","68.75","0","cron"
"91","2014-01-09 13:58:02","0.91","0.06","0.06","0.9","0.06","0.06","68.56","0","cron"
"92","2014-01-09 14:00:02","0.83","0.06","0.06","0.83","0.06","0.06","68.56","0","cron"
"93","2014-01-09 14:02:02","0.9","0.07","0.06","0.91","0.07","0.06","68.5","0","cron"
"94","2014-01-09 14:04:02","0.9","0.06","0.06","0.9","0.06","0.06","68.5","0","cron"
"95","2014-01-09 14:06:02","0.93","0.06","0.06","0.93","0.06","0.06","68.5","0","cron"
"96","2014-01-09 14:08:02","0.88","0.05","0.06","0.89","0.06","0.06","68.44","0","cron"
"97","2014-01-09 14:10:03","0.89","0.06","0.07","0.89","0.06","0.07","68.37","0","cron"
"98","2014-01-09 14:12:02","0.88","0.06","0.06","0.9","0.06","0.06","68.44","0","cron"
"99","2014-01-09 14:14:02","0.89","0.06","0.06","0.9","0.07","0.06","68.44","0","cron"
"100","2014-01-09 14:16:02","4.09","3.69","0.05","4.09","3.69","0.06","68.37","0","cron"
"101","2014-01-09 14:18:02","4.22","3.79","0.05","4.22","3.79","0.05","68.37","0","cron"
"102","2014-01-09 14:20:02","0.89","0.08","0.07","3.61","3.13","0.06","68.75","0","cron"
"103","2014-01-09 14:22:02","0.92","0.07","0.06","0.88","0.07","0.06","68.5","0","cron"
"104","2014-01-09 14:24:02","1.06","0.05","0.09","1.05","0.06","0.08","68.37","0","cron"
"105","2014-01-09 14:26:02","1.02","0.06","0.07","1.05","0.06","0.06","68.37","0","cron"
"106","2014-01-09 14:28:02","1.06","0.06","0.05","1.06","0.06","0.05","68.31","0","cron"
"107","2014-01-09 14:30:02","1.06","0.06","0.05","1.05","0.06","0.06","68.31","0","cron"
"108","2014-01-09 14:32:02","1.05","0.06","0.07","1.04","0.06","0.07","68.25","0","cron"
"109","2014-01-09 14:34:02","1.01","0.06","0.06","1.04","0.06","0.06","68.25","0","cron"
"110","2014-01-09 14:36:02","1.05","0.05","0.06","1.05","0.05","0.06","68.25","0","cron"
"111","2014-01-09 14:38:03","1.03","0.07","0.06","1.04","0.06","0.06","68.31","0","cron"
"112","2014-01-09 14:40:02","4.43","3.71","0.06","4.42","3.7","0.06","68.25","0","cron"
"113","2014-01-09 14:42:02","4.43","3.71","0.05","4.43","3.7","0.06","68.19","0","cron"
"114","2014-01-09 14:44:02","1.05","0.06","0.06","1.04","0.06","0.07","68.69","0","cron"
"115","2014-01-09 14:46:02","1.44","0.06","0.07","1.44","0.06","0.07","68.44","0","cron"
"116","2014-01-09 14:48:02","1.4","0.05","0.07","1.41","0.05","0.07","68.25","0","cron"
"117","2014-01-09 14:50:01","1.45","0.06","0.07","1.41","0.05","0.07","68.19","0","cron"
"118","2014-01-09 14:52:02","1.42","0.06","0.07","1.42","0.06","0.07","68.19","0","cron"
"119","2014-01-09 14:54:02","1.41","0.05","0.06","1.42","0.05","0.07","68.19","0","cron"
"120","2014-01-09 14:56:02","1.38","0.06","0.07","1.41","0.05","0.07","68.12","0","cron"
"121","2014-01-09 14:58:02","1.43","0.04","0.06","1.41","0.05","0.07","68.06","0","cron"
"122","2014-01-09 15:00:02","1.4","0.04","0.07","1.42","0.05","0.07","68.06","0","cron"
"123","2014-01-09 15:02:01","1.11","0.06","0.06","1.17","0.06","0.06","68.12","0","cron"
"124","2014-01-09 15:04:02","4.11","3.69","0.06","4.11","3.69","0.06","68.06","0","cron"
"125","2014-01-09 15:06:02","4.08","3.66","0.06","4.08","3.67","0.06","68.06","0","cron"
"126","2014-01-09 15:08:02","4.08","3.7","0.07","4.09","3.68","0.06","68.44","0","cron"
"127","2014-01-09 15:10:02","0.93","0.06","0.07","1.41","0.65","0.06","68.25","0","cron"
"128","2014-01-09 15:12:02","0.89","0.06","0.06","0.88","0.06","0.06","68.12","0","cron"
"129","2014-01-09 15:14:02","0.89","0.07","0.05","0.89","0.07","0.06","68.06","0","cron"
"130","2014-01-09 15:16:02","0.89","0.07","0.07","0.87","0.06","0.06","68.06","0","cron"
"131","2014-01-09 15:18:01","0.87","0.06","0.06","0.89","0.06","0.06","68","0","cron"
"132","2014-01-09 15:20:02","0.91","0.06","0.09","0.89","0.06","0.06","67.94","0","cron"
"133","2014-01-09 15:22:02","0.9","0.08","0.06","0.9","0.07","0.06","67.94","0","cron"
"134","2014-01-09 15:24:02","0.91","0.06","0.06","0.91","0.06","0.06","67.94","0","cron"
"135","2014-01-09 15:26:02","0.93","0.05","0.06","0.93","0.05","0.06","68","0","cron"
"136","2014-01-09 15:28:02","4.11","3.65","0.06","1.96","1.23","0.06","67.87","0","cron"
"137","2014-01-09 15:30:02","4.46","3.65","0.06","4.51","3.68","0.07","67.94","0","cron"
"138","2014-01-09 15:32:02","4.44","3.63","0.06","4.43","3.64","0.07","68.19","0","cron"
"139","2014-01-09 15:34:02","1.14","0.06","0.07","2.35","1.39","0.06","68.19","0","cron"
"140","2014-01-09 15:36:03","1.07","0.05","0.07","1.09","0.06","0.07","67.94","0","cron"
"141","2014-01-09 15:38:02","1.08","0.06","0.07","1.08","0.06","0.07","67.94","0","cron"
"142","2014-01-09 15:40:03","1.08","0.06","0.06","1.09","0.06","0.07","67.87","0","cron"
"143","2014-01-09 15:42:02","1.11","0.06","0.06","1.09","0.06","0.07","67.87","0","cron"
"144","2014-01-09 15:44:02","1.1","0.44","0.1","1.1","0.27","0.12","67.81","0","cron"
"145","2014-01-09 15:46:01","1.48","0.62","0.12","1.29","0.59","0.11","67.81","0","cron"
"146","2014-01-09 15:48:02","1.46","0.61","0.11","1.47","0.62","0.11","67.75","0","cron"
"147","2014-01-09 15:50:02","1.44","0.62","0.11","1.44","0.62","0.12","67.69","0","cron"
"148","2014-01-09 15:52:02","1.4","0.62","0.11","1.39","0.63","0.11","67.69","0","cron"
"149","2014-01-09 15:54:02","4.76","3.93","0.11","4.76","3.93","0.11","67.69","0","cron"
"150","2014-01-09 15:56:02","10.73","3.92","0.12","10.71","3.91","0.12","67.62","0","cron"
"151","2014-01-09 15:58:01","7.6","0.63","0.11","9.97","3.13","0.11","67.81","0","cron"
"152","2014-01-09 16:00:02","1.39","0.61","0.13","1.37","0.62","0.12","67.62","0","cron"
"153","2014-01-09 16:02:02","1.47","0.62","0.11","1.46","0.62","0.11","67.56","0","cron"
"154","2014-01-09 16:04:02","1.42","0.62","0.11","1.42","0.62","0.11","67.56","0","cron"
"155","2014-01-09 16:06:02","1.41","0.61","0.12","1.41","0.61","0.12","67.5","0","cron"
"156","2014-01-09 16:08:02","1.49","0.6","0.11","1.44","0.62","0.12","67.5","0","cron"
"157","2014-01-09 16:10:02","1.24","0.62","0.11","1.25","0.62","0.11","67.5","0","cron"
"158","2014-01-09 16:12:02","1.33","0.61","0.12","1.32","0.62","0.11","67.44","0","cron"
"159","2014-01-09 16:14:02","1.31","0.62","0.11","1.31","0.62","0.11","67.44","0","cron"
"160","2014-01-09 16:16:01","4.45","3.94","0.12","2.66","2.04","0.11","67.44","0","cron"
"161","2014-01-09 16:18:02","4.51","3.96","0.1","4.5","3.95","0.11","67.44","0","cron"
"162","2014-01-09 16:20:02","4.49","3.97","0.12","4.48","3.96","0.11","67.75","0","cron"
"163","2014-01-09 16:22:02","1.28","0.62","0.11","2.88","2.3","0.11","67.87","0","cron"
"164","2014-01-09 16:24:02","1.29","0.62","0.1","1.28","0.62","0.11","67.56","0","cron"
"165","2014-01-09 16:26:02","1.26","0.61","0.12","1.27","0.61","0.12","67.44","0","cron"
"166","2014-01-09 16:28:02","1.27","0.62","0.11","1.27","0.62","0.11","67.44","0","cron"
"167","2014-01-09 16:30:02","1.3","0.62","0.15","1.29","0.61","0.13","67.44","0","cron"
"168","2014-01-09 16:32:02","1.32","0.61","0.16","1.32","0.61","0.16","67.44","0","cron"
"169","2014-01-09 16:34:02","1.29","0.63","0.15","1.32","0.61","0.16","67.37","0","cron"
"170","2014-01-09 16:36:02","1.42","0.62","0.16","1.42","0.62","0.16","67.37","0","cron"
"171","2014-01-09 16:38:01","1.39","0.61","0.54","1.4","0.62","0.39","67.37","0","cron"
"172","2014-01-09 16:40:02","4.49","3.89","0.54","4.55","3.93","0.54","67.37","0","cron"
"173","2014-01-09 16:42:02","4.5","3.89","0.55","4.55","3.93","0.54","67.37","0","cron"
"174","2014-01-09 16:44:02","4.41","3.83","0.55","4.41","3.83","0.55","67.81","0","cron"
"175","2014-01-09 16:46:01","1.56","0.61","0.17","2.84","1.86","0.3","67.75","0","cron"
"176","2014-01-09 16:48:02","1.91","0.61","0.17","1.93","0.61","0.16","67.5","0","cron"
"177","2014-01-09 16:50:03","1.95","0.62","0.17","1.94","0.61","0.17","67.37","0","cron"
"178","2014-01-09 16:52:02","1.98","0.6","0.17","1.98","0.6","0.17","67.37","0","cron"
"179","2014-01-09 16:54:02","1.94","0.61","0.17","1.94","0.61","0.16","67.31","0","cron"
"180","2014-01-09 16:56:02","1.96","0.59","0.15","1.95","0.6","0.16","67.37","0","cron"
"181","2014-01-09 16:58:02","1.93","0.63","0.17","1.95","0.62","0.16","67.31","0","cron"
"182","2014-01-09 17:00:02","1.95","0.61","0.16","1.92","0.61","0.16","67.37","0","cron"
"183","2014-01-09 17:02:02","1.96","0.61","0.16","1.94","0.61","0.16","67.37","0","cron"
"184","2014-01-09 17:04:02","4.99","3.96","0.15","4.99","3.96","0.15","67.37","0","cron"
"185","2014-01-09 17:06:02","4.49","3.95","0.15","4.92","3.95","0.16","67.62","0","cron"
"186","2014-01-09 17:08:02","1.11","0.62","0.16","4.32","3.78","0.15","67.94","0","cron"
"187","2014-01-09 17:10:02","1.11","0.59","0.17","1.11","0.59","0.17","67.56","0","cron"
"188","2014-01-09 17:12:02","1.11","0.61","0.15","1.11","0.61","0.16","67.44","0","cron"
"189","2014-01-09 17:14:02","1.1","0.61","0.17","1.09","0.62","0.16","67.31","0","cron"
"190","2014-01-09 17:16:02","1.1","0.62","0.15","1.1","0.62","0.15","67.37","0","cron"
"191","2014-01-09 17:18:01","1.1","0.63","0.16","1.1","0.61","0.16","67.31","0","cron"
"192","2014-01-09 17:20:02","1.11","0.6","0.17","1.11","0.6","0.17","67.31","0","cron"
"193","2014-01-09 17:22:02","1.09","0.6","0.17","1.09","0.61","0.16","67.19","0","cron"
"194","2014-01-09 17:24:02","1.09","0.62","0.16","1.09","0.62","0.16","67.25","0","cron"
"195","2014-01-09 17:26:02","4.16","3.95","0.16","3.02","2.77","0.15","67.25","0","cron"
"196","2014-01-09 17:28:02","4.12","3.93","0.16","4.15","3.95","0.15","67.62","0","cron"
"197","2014-01-09 17:30:02","4.14","3.94","0.15","4.16","3.95","0.15","67.87","0","cron"
"198","2014-01-09 17:32:02","0.91","0.62","0.15","0.91","0.62","0.15","67.69","0","cron"
"199","2014-01-09 17:34:02","0.92","0.62","0.15","0.92","0.61","0.15","67.44","0","cron"
"200","2014-01-09 17:36:02","0.92","0.61","0.15","0.92","0.62","0.15","67.37","0","cron"
"201","2014-01-09 17:38:02","0.92","0.6","0.16","0.92","0.61","0.15","67.25","0","cron"
"202","2014-01-09 17:40:03","0.92","0.62","0.15","0.91","0.62","0.16","67.31","0","cron"
"203","2014-01-09 17:42:02","0.93","0.6","0.17","0.93","0.6","0.17","67.25","0","cron"
"204","2014-01-09 17:44:02","0.92","0.62","0.16","0.93","0.61","0.16","67.25","0","cron"
"205","2014-01-09 17:46:02","0.92","0.62","0.16","0.92","0.62","0.15","67.19","0","cron"
"206","2014-01-09 17:48:02","4.17","3.96","0.15","1.22","0.93","0.15","67.25","0","cron"
"207","2014-01-09 17:50:02","4.15","3.96","0.15","4.15","3.95","0.15","67.31","0","cron"
"208","2014-01-09 17:52:02","4.13","3.95","0.16","4.13","3.96","0.15","67.69","0","cron"
"209","2014-01-09 17:54:02","1.12","0.62","0.16","2.37","2.07","0.15","67.69","0","cron"
"210","2014-01-09 17:56:01","1.11","0.6","0.16","1.11","0.62","0.16","67.31","0","cron"
"211","2014-01-09 17:58:02","1.12","0.61","0.17","1.12","0.61","0.17","67.31","0","cron"
"212","2014-01-09 18:12:02","4.45","3.92","0.15","4.46","3.92","0.16","67.25","0","cron"
"213","2014-01-09 18:14:02","4.45","3.93","0.15","4.46","3.92","0.15","67.69","0","cron"
"214","2014-01-09 18:16:02","1.07","0.63","0.17","1.07","0.63","0.17","67.81","0","cron"
"215","2014-01-09 18:18:01","1.09","0.62","0.16","1.1","0.61","0.16","67.25","0","cron"
"216","2014-01-09 18:20:02","1.11","0.6","0.17","1.1","0.61","0.16","67.25","0","cron"
"217","2014-01-09 18:22:03","1.09","0.62","0.15","1.09","0.61","0.15","67.19","0","cron"
"218","2014-01-09 18:24:02","1.1","0.63","0.15","1.1","0.61","0.16","67.19","0","cron"
"219","2014-01-09 18:26:02","1.09","0.6","0.16","1.09","0.61","0.15","67.12","0","cron"
"220","2014-01-09 18:28:02","1.07","0.63","0.15","1.08","0.62","0.17","67.12","0","cron"
"221","2014-01-09 18:30:02","1.49","0.62","0.14","1.44","0.61","0.15","67.12","0","cron"
"222","2014-01-09 18:32:02","1.44","0.6","0.15","1.38","0.61","0.15","67.06","0","cron"
"223","2014-01-09 18:34:02","4.5","3.91","0.16","4.49","3.91","0.15","67","0","cron"
"224","2014-01-09 18:36:02","4.5","3.91","0.15","4.5","3.92","0.15","67","0","cron"
"225","2014-01-09 18:38:02","4.46","3.92","0.16","4.47","3.92","0.15","67.25","0","cron"
"226","2014-01-09 18:40:02","1.39","0.61","0.15","3.31","2.66","0.15","67.37","0","cron"
"227","2014-01-09 18:42:02","1.51","0.61","0.16","1.51","0.61","0.15","67.12","0","cron"
"228","2014-01-09 18:44:02","1.31","0.6","0.16","1.44","0.61","0.15","67","0","cron"
"229","2014-01-09 18:46:02","1.44","0.64","0.15","1.43","0.61","0.15","67","0","cron"
"230","2014-01-09 18:48:02","1.78","0.84","0.16","1.44","0.79","0.15","66.94","0","cron"
"231","2014-01-09 18:50:02","1.58","0.86","0.17","1.55","0.86","0.16","67","0","cron"
"232","2014-01-09 18:52:02","1.6","0.89","0.15","1.57","0.87","0.16","66.87","0","cron"
"233","2014-01-09 18:54:02","1.62","0.9","0.16","1.59","0.91","0.15","66.87","0","cron"
"234","2014-01-09 18:56:02","4.97","3.94","0.15","4.51","3.58","0.15","66.87","0","cron"
"235","2014-01-09 18:58:02","5.02","3.95","0.16","5.02","3.95","0.16","67.31","0","cron"
"236","2014-01-09 19:00:02","5","3.89","0.16","5","3.9","0.15","67.56","0","cron"
"237","2014-01-09 19:02:02","1.76","0.87","0.17","2.37","1.48","0.15","67.25","0","cron"
"238","2014-01-09 19:04:02","1.71","0.89","0.17","1.72","0.89","0.16","67","0","cron"
"239","2014-01-09 19:06:02","1.7","0.9","0.16","1.73","0.89","0.16","67","0","cron"
"240","2014-01-09 19:08:02","1.63","0.9","0.2","1.63","0.9","0.2","66.81","0","cron"
"241","2014-01-09 19:10:02","1.66","0.88","0.18","1.64","0.89","0.19","66.62","0","cron"
"242","2014-01-09 19:12:03","1.64","0.89","0.18","1.64","0.89","0.18","66.56","0","cron"
"243","2014-01-09 19:14:02","1.5","0.89","0.19","1.63","0.89","0.24","66.5","0","cron"
"244","2014-01-09 19:16:03","1.51","0.87","0.2","1.51","0.87","0.19","66.44","0","cron"
"245","2014-01-09 19:18:03","1.46","0.87","0.18","1.49","0.86","0.18","66.37","0","cron"
"246","2014-01-09 19:20:02","4.85","3.93","0.18","4.88","3.88","0.18","66.37","0","cron"
"247","2014-01-09 19:22:03","4.79","3.94","0.18","4.78","3.92","0.18","66.25","0","cron"
"248","2014-01-09 19:24:02","4.76","3.91","0.17","4.79","3.93","0.17","66.31","0","cron"
"249","2014-01-09 19:26:02","4.92","3.95","0.17","4.81","3.95","0.17","66.44","0","cron"
"250","2014-01-09 19:28:03","1.41","0.91","0.18","1.4","0.9","0.18","66.5","0","cron"
"251","2014-01-09 19:30:02","1.4","0.89","0.19","1.41","0.9","0.18","66.37","0","cron"
"252","2014-01-09 19:32:02","1.4","0.91","0.17","1.44","0.89","0.18","66.31","0","cron"
"253","2014-01-09 19:34:02","1.42","0.91","0.18","1.46","0.9","0.18","66.25","0","cron"
"254","2014-01-09 19:36:02","1.44","0.9","0.19","1.44","0.9","0.19","66.25","0","cron"
"255","2014-01-09 19:38:02","1.4","0.91","0.57","1.45","0.89","0.57","66.25","0","cron"
"256","2014-01-09 19:40:02","1.12","0.88","0.57","1.1","0.89","0.57","66.19","0","cron"
"257","2014-01-09 19:42:02","4.4","3.92","0.56","1.54","1.31","0.57","66.12","0","cron"
"258","2014-01-09 19:44:02","4.44","3.89","0.57","4.45","3.89","0.57","66.06","0","cron"
"259","2014-01-09 19:46:02","4.42","3.92","0.57","4.42","3.92","0.57","66.31","0","cron"
"260","2014-01-09 19:48:02","1.12","0.86","0.56","1.12","0.86","0.56","66.69","0","cron"
"261","2014-01-09 19:50:02","1.1","0.88","0.56","1.09","0.9","0.57","66.31","0","cron"
"262","2014-01-09 19:52:02","0.93","0.86","0.57","0.92","0.88","0.56","66.19","0","cron"
"263","2014-01-09 19:54:02","0.92","0.87","0.58","0.92","0.89","0.57","66.19","0","cron"
"264","2014-01-09 19:56:02","0.92","0.89","0.57","0.93","0.88","0.58","66.12","0","cron"
"265","2014-01-09 19:58:02","0.86","0.92","0.55","0.9","0.88","0.56","66.06","0","cron"
"266","2014-01-09 20:00:01","0.98","0.88","0.55","0.93","0.89","0.56","66.06","0","cron"
"267","2014-01-09 20:02:02","4.55","4.03","0.17","2.59","2.35","0.4","66","0","cron"
"268","2014-01-09 20:04:02","4.65","3.98","0.16","4.65","3.96","0.17","66.25","0","cron"
"269","2014-01-09 20:06:02","4.59","3.95","0.15","4.55","3.97","0.17","66.56","0","cron"
"270","2014-01-09 20:08:02","1.45","0.87","0.15","1.45","0.87","0.15","66.81","0","cron"
"271","2014-01-09 20:10:02","1.4","0.9","0.13","1.39","0.89","0.14","66.5","0","cron"
"272","2014-01-09 20:12:03","1.31","0.9","0.15","1.29","0.91","0.15","66.31","0","cron"
"273","2014-01-09 20:14:02","1.3","0.91","0.14","1.33","0.89","0.14","66.19","0","cron"
"274","2014-01-09 20:16:02","1.61","0.92","0.14","1.61","0.92","0.14","66.19","0","cron"
"275","2014-01-09 20:18:02","1.64","0.91","0.14","1.64","0.91","0.14","66.12","0","cron"
"276","2014-01-09 20:20:02","1.63","0.89","0.14","1.62","0.89","0.15","66.19","0","cron"
"277","2014-01-09 20:22:01","4.97","3.94","0.14","3.09","2.23","0.14","66.12","0","cron"
"278","2014-01-09 20:24:02","4.93","3.95","0.14","4.98","3.96","0.14","66.31","0","cron"
"279","2014-01-09 20:26:02","7.92","3.93","0.15","5.72","3.95","0.14","66.75","0","cron"
